(-0.9761416224,0.2171360117)
(-0.9968573141,-0.07922099484)
(-0.990665917,-0.1363137202)
(-0.9649267723,-0.2625201524)
(-0.04133763519,0.999145213)
(-0.2185891459,0.9758170041)
(0.09588970165,0.9953918586)
(-0.09360797367,0.9956090613)
(0.2819440268,0.9594306896)
(0.3335481387,0.94273295)
(0.1478886215,0.9890039497)
(0.457730597,0.8890907321)
(0.6171081271,0.7868780748)
(0.6601355629,0.7511462366)
(0.5052624192,0.86296557)
(0.7505242694,0.6608425211)
(0.9398893111,0.3414784546)
(0.8586591034,0.5125465869)
(0.8867782851,0.4621945561)
(0.7862966523,0.6178488034)
(0.9996392052,0.02684884878)
(0.9944789507,-0.1049332356)
(0.9872347347,-0.1592701836)
(0.9573534693,-0.2889182071)
(0.99960851,-0.02796882839)
(0.9874125618,0.1581639888)
(0.9950299877,0.09957310798)
(0.9580117199,0.286728163)
(0.8865015709,-0.4627249205)
(0.8590127503,-0.5119536273)
(0.9400831701,-0.3409443385)
(0.7844193038,-0.6202304154)
(0.7482155547,-0.6634552719)
(0.6099144239,-0.792466917)
(0.5019220811,-0.8649125025)
(0.6547028879,-0.7558859205)
(0.4510868342,-0.8924797311)
(0.3314591699,-0.9434692401)
(0.1493193429,-0.9887887198)
(0.2774166064,-0.9607494079)
(-0.224139453,-0.9745567697)
(0.09299965566,-0.9956658273)
(-0.03808081589,-0.9992743497)
(-0.09364740727,-0.9956051094)
(-0.2780416075,-0.9605686955)
(-0.4517375521,-0.8921505198)
(-0.5662917976,-0.8242044801)
(-0.4023019166,-0.9155067182)
(-0.7486549068,-0.6629594622)
(-0.6104921825,-0.7920218867)
(-0.8293478796,-0.5587321602)
(-0.7103318895,-0.7038665047)
(-0.9402132995,-0.340585543)
(-0.9765655839,-0.2152194022)
(-0.9191469332,-0.3939143521)
(-0.8593517485,-0.5113844346)
(0.8284677083,-0.5600366345)
(0.7622078607,-0.6473321555)
(0.8012453456,-0.5983357557)
(0.6753238748,-0.7375211518)
(0.762207891,-0.6473322304)
(0.6278183453,-0.7783597941)
(0.3573827598,-0.9339580506)
(0.4602226766,-0.8878035224)
(0.6278184204,-0.778359825)
(0.5675764382,-0.8233206686)
(0.7201791404,-0.6937880648)
(0.5256117193,-0.8507246024)
(0.176563644,-0.984289276)
(0.2862167534,-0.958164914)
(0.1145852162,-0.9934134657)
(-0.01047560195,-0.9999452111)
(0.9649658202,-0.2623749441)
(0.8619090644,-0.5070625534)
(0.8538609547,-0.5205009022)
(0.924606017,-0.3809243367)
(0.9649658204,-0.2623748783)
(0.9185259784,-0.3953602338)
(0.7917749712,-0.610812651)
(-0.1671838247,0.985925799)
(0.2548302242,-0.9669860362)
(0.01331071196,-0.9999116536)
(0.1980190532,-0.9801983928)
(0.06964577332,-0.9975720171)
(0.4310373247,-0.9023343009)
(0.5920594972,-0.8058944566)
(0.5462804682,-0.837602509)
(0.3776957706,-0.9259299599)
(-0.2887008091,0.9574195127)
(-0.3400702706,0.9404001235)
(-0.5128848267,0.8584575959)
(-0.4673377923,0.8840790377)
(-0.6669383455,0.7451131397)
(-0.7589319125,0.6511703723)
(-0.6271021993,0.7789372734)
(-0.7968234818,0.6042125351)
(0.142459173,-0.9898008946)
(-0.8974467603,0.4411233443)
(-0.9632837951,0.2684862992)
(-0.8692082055,0.4944468285)
(-0.9481948987,0.3176901704)
(-0.0430666231,-0.9990724327)
(-0.2272285225,-0.9738417334)
(0.08838353989,-0.9960867272)
(-0.09568620107,-0.9954117903)
(-0.4035391844,-0.914962656)
(-0.5693708138,-0.8220811733)
(-0.4570992112,-0.8894160341)
(-0.2782615409,-0.9605056152)
(-0.7146327259,-0.6995002749)
(-0.7510883145,-0.6602022115)
(-0.6171296514,-0.7868618587)
(-0.8339264516,-0.5518761291)
(-0.9904571129,0.1378236356)
(-0.9997611338,-0.02186704198)
(-0.9231789029,-0.3843712625)
(-0.996236178,0.08668364666)
(-0.9994734418,0.03245619726)
(-0.987249473,-0.1591825015)
(-0.9784053095,-0.2066968812)
(-0.9406721551,-0.3393177183)
(-0.9944369933,-0.1053360831)
(-0.9989747124,-0.04527888041)
(-0.8623003043,-0.5063978667)
(-0.1136047791,0.9935261134)
(0.07899122273,0.9968753552)
(0.2012933294,0.9795309679)
(0.01104619546,0.999938989)
(0.2674110998,0.9635825265)
(0.4314900697,0.9021176328)
(0.3841710139,0.923261847)
(0.5527186553,0.8333677682)
(0.738263865,0.6745118294)
(0.8206065945,0.5714931671)
(0.7010979833,0.7130647064)
(0.5951538491,0.803611665)
(0.8500226344,0.5267458534)
(0.9732732216,0.2296492433)
(0.9322196246,0.3618925321)
(0.9119480117,0.4103052277)
(0.9630379714,-0.2693646722)
(0.9193728779,-0.3933864987)
(0.996211962,-0.08695509069)
(0.9770238754,-0.2131284874)
(0.9839817985,0.1782677836)
(0.9999094211,-0.01344300861)
(0.9991738177,0.04063463037)
(0.9895024141,-0.1445145985)
(0.8950423241,-0.4459805902)
(0.7086136787,-0.7055962546)
(0.8287930419,-0.5595547306)
(0.7972753437,-0.6036153378)
(0.3997436347,-0.9166266542)
(0.669363721,-0.7429344793)
(0.5630863219,-0.8263977154)
(0.5205615478,-0.8538238114)
(0.2224810193,-0.9749366918)
(0.168901053,-0.9856326975)
(0.3528636838,-0.9356744187)
(0.03743072992,-0.9992989027)
(-0.01720361419,-0.9998516785)
(-0.1489235397,-0.9888483679)
(-0.3301257916,-0.9439365881)
(-0.2064146894,-0.9784642548)
(-0.4998227149,-0.8661273277)
(-0.6539115238,-0.7565705799)
(-0.5487215866,-0.8360047282)
(-0.3846850149,-0.9230475233)
(-0.9872955752,-0.1588933821)
(-0.9995809994,-0.02894253368)
(-0.9873824135,0.1583539722)
(-0.9996233234,0.02744099495)
(-0.9201003367,0.3916828773)
(-0.9768878723,0.2137522457)
(-0.8602875385,0.509809458)
(-0.9403995344,0.3400718571)
(-0.6130328121,0.7900578434)
(-0.7111791281,0.7030111557)
(-0.8307015982,0.5567181687)
(-0.7498686528,0.661587086)
(-0.404214627,0.9146645514)
(-0.5672840717,0.8235225298)
(-0.4546005744,0.8906958153)
(-0.280153309,0.9599556958)
(-0.7846255662,-0.6199693945)
(-0.8170177496,-0.5766119157)
(-0.8872492211,-0.4612897387)
(-0.6962667516,-0.7177826187)
(-0.9109062687,-0.4126125427)
(-0.994681587,-0.1029957536)
(-0.9725704389,-0.2326073076)
(-0.9581884318,-0.2861370134)
(-0.9494309691,0.3139765671)
(-0.874036093,0.4858613945)
(-0.9296941074,0.3683331653)
(-0.8466948944,0.5320791083)
(-0.7678500044,0.6406299364)
(0.8012453112,-0.5983356871)
(0.6066933248,-0.7949357622)
(0.7076442188,-0.7065686722)
(0.6278183246,-0.7783597244)
(0.7201790752,-0.6937879833)
(-0.9913785427,0.1310307059)
(-0.9984010795,-0.05653119322)
(-0.9821466833,0.1881179902)
